file,documentID,instanceID,parentDocumentID,parentInstanceID
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid05_c2.tif,adobe:docid:photoshop:c6686748-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid06_c1.tif,adobe:docid:photoshop:a2fb23f4-f59b-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid06_c2.tif,adobe:docid:photoshop:a2fb23f0-f59b-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid07_c1.tif,adobe:docid:photoshop:38d0e890-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid07_c2.tif,adobe:docid:photoshop:0fabe127-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid08_c1.tif,adobe:docid:photoshop:adb6c093-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid08_c2.tif,adobe:docid:photoshop:7e9b2cda-f59c-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid09_c1.tif,adobe:docid:photoshop:5a5c90d6-f59b-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid09_c2.tif,adobe:docid:photoshop:5a5c90d2-f59b-11da-b021-8ba1b752bf42,,,
/home/renku/work/dcaonnextcloud-500gb/DigitalMaterialCopies/WeingutGantenbein/gramazio-kohler-archiv-server/036_WeingutGantenbein/03_Plaene/01_dFab/060607_Fassadenstudie/060606_screenshots/fluid10_c1.tif,adobe:docid:photoshop:b4ab390a-f59e-11da-b021-8ba1b752bf42,,,
